loan_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
LO103,C1102,A2102,49277.17,ACTIVE,SAVINGS,2021-03-23,B6,OK,N
LO104,C1103,A2103,10199.0,PENDING,CURRENT,2024-07-03,B8,OK,N
LO105,C1104,A2104,17369.79,PENDING,CURRENT,2020-04-10,B15,OK,Y
LO106,C1105,A2105,37725.31,ACTIVE,CURRENT,2025-01-23,B5,OK,N
LO107,C1106,A2106,18857.29,INACTIVE,CURRENT,2021-05-02,B16,OK,N
LO108,C1107,A2107,19952.16,ACTIVE,CURRENT,2021-12-21,B16,OK,N
LO109,C1108,A2108,2746.0,INACTIVE,LOAN,2023-05-30,B19,OK,N
LO110,C1109,A2109,24406.65,PENDING,CURRENT,2020-05-03,B17,OK,N
LO111,C1110,A2110,11602.17,PENDING,CURRENT,2025-05-05,B6,OK,N
LO112,C1111,A2111,10561.84,ACTIVE,LOAN,2021-09-11,B13,OK,Y
LO113,C1112,A2112,9421.06,PENDING,CURRENT,2020-01-29,B10,OK,N
LO114,C1113,A2113,39857.43,INACTIVE,SAVINGS,2025-02-03,B13,OK,Y
LO115,C1114,A2114,28491.82,PENDING,SAVINGS,2025-05-18,B7,OK,N
LO116,C1115,A2115,45959.92,ACTIVE,CURRENT,2021-10-24,B10,OK,N
LO117,C1116,A2116,31184.06,INACTIVE,LOAN,2024-07-08,B9,OK,Y
LO118,C1117,A2117,19814.65,INACTIVE,LOAN,2021-04-07,B8,OK,N
LO119,C1118,A2118,29889.98,ACTIVE,LOAN,2024-04-10,B13,OK,Y
LO120,C1119,A2119,78.91,ACTIVE,CURRENT,2021-02-07,B4,OK,Y
LO121,C1120,A2120,,INACTIVE,SAVINGS,2020-04-21,B6,OK,N
LO122,C1121,A2121,2148.41,PENDING,CURRENT,2021-02-26,B7,OK,N
LO123,C1122,A2122,44981.1,PENDING,SAVINGS,2023-03-21,B6,OK,N
LO124,C1123,A2123,2264.73,ACTIVE,SAVINGS,2024-01-10,B2,OK,Y
LO125,C1124,A2124,37465.3,INACTIVE,SAVINGS,2024-11-16,B6,OK,N
LO126,C1125,A2125,47687.89,ACTIVE,SAVINGS,2023-04-03,B11,,Y
LO127,C1126,A2126,10768.88,ACTIVE,LOAN,2022-09-14,B15,OK,Y
LO128,C1127,A2127,44875.25,ACTIVE,CURRENT,2025-03-25,B17,OK,Y
LO129,C1128,A2128,39640.87,INACTIVE,LOAN,2023-02-21,B19,OK,Y
LO130,C1129,A2129,9069.37,ACTIVE,LOAN,2023-03-22,B10,OK,N
LO131,C1130,A2130,10029.82,PENDING,SAVINGS,2020-01-26,B9,OK,Y
LO132,C1131,A2131,46967.66,ACTIVE,LOAN,2025-02-15,B7,OK,N
LO133,C1132,A2132,15885.59,PENDING,CURRENT,2024-01-23,B4,OK,N
LO134,C1133,A2133,3759.93,INACTIVE,CURRENT,2024-02-09,B2,OK,Y
LO135,C1134,A2134,16632.11,PENDING,SAVINGS,2021-05-19,B18,OK,Y
LO136,C1135,A2135,2474.32,ACTIVE,SAVINGS,2020-04-18,B10,OK,N
LO137,C1136,A2136,5141.82,ACTIVE,CURRENT,2021-07-28,B5,OK,Y
LO138,C1137,A2137,26955.29,PENDING,SAVINGS,2022-09-04,B2,OK,N
LO139,C1138,A2138,22013.33,ACTIVE,SAVINGS,2021-11-09,B14,OK,N
LO140,C1139,A2139,24406.56,PENDING,CURRENT,2021-10-13,B14,OK,Y
LO141,C1140,A2140,8436.25,INACTIVE,SAVINGS,2020-05-18,B5,OK,N
LO142,C1141,A2141,19767.31,PENDING,LOAN,2023-12-11,B10,OK,N
LO143,C1142,A2142,18357.06,INACTIVE,SAVINGS,2023-06-15,B7,OK,N
LO144,C1143,A2143,10766.51,ACTIVE,SAVINGS,2025-01-25,B1,OK,Y
LO145,C1144,A2144,4151.91,PENDING,LOAN,2020-05-30,B6,OK,N
LO146,C1145,A2145,26370.47,PENDING,LOAN,2025-01-28,B6,OK,Y
LO147,C1146,A2146,36821.7,INACTIVE,SAVINGS,2022-08-04,B4,OK,Y
LO148,C1147,A2147,24090.79,PENDING,CURRENT,2022-04-06,B5,OK,N
LO149,C1148,A2148,6964.68,ACTIVE,CURRENT,2021-10-30,B7,OK,Y
LO150,C1149,A2149,47078.06,INACTIVE,SAVINGS,2023-04-02,B15,OK,Y
LO151,C1150,A2150,12816.85,ACTIVE,SAVINGS,2023-11-26,B16,,Y
LO152,C1151,A2151,2134.61,PENDING,CURRENT,2022-09-05,B17,OK,N
LO153,C1152,A2152,11074.22,ACTIVE,LOAN,2020-06-13,B1,OK,Y
LO154,C1153,A2153,39775.64,PENDING,LOAN,2021-03-17,B16,OK,N
LO155,C1154,A2154,19686.36,PENDING,SAVINGS,2020-07-19,B12,OK,Y
LO156,C1155,A2155,9951.37,INACTIVE,CURRENT,2022-04-18,B9,OK,Y
LO157,C1156,A2156,18861.28,ACTIVE,SAVINGS,2024-03-15,B7,OK,N
LO158,C1157,A2157,20285.42,INACTIVE,CURRENT,2022-07-14,B13,OK,Y
LO159,C1158,A2158,6444.74,INACTIVE,CURRENT,2023-12-12,B12,OK,N
LO160,C1159,A2159,25021.74,ACTIVE,CURRENT,2024-04-01,B4,OK,N
LO161,C1160,A2160,,ACTIVE,SAVINGS,2024-03-04,B20,OK,N
LO162,C1161,A2161,8946.64,PENDING,LOAN,2025-03-28,B10,OK,N
LO163,C1162,A2162,27987.88,INACTIVE,CURRENT,2024-11-24,B12,OK,Y
LO164,C1163,A2163,8345.05,ACTIVE,LOAN,2022-01-05,B16,OK,N
LO165,C1164,A2164,34202.94,ACTIVE,SAVINGS,2021-10-19,B1,OK,N
LO166,C1165,A2165,11130.95,INACTIVE,CURRENT,2022-05-10,B9,OK,Y
LO167,C1166,A2166,27835.75,INACTIVE,SAVINGS,2023-07-31,B2,OK,Y
LO168,C1167,A2167,26638.14,PENDING,SAVINGS,2021-05-05,B2,OK,N
LO169,C1168,A2168,33498.81,ACTIVE,SAVINGS,2024-08-30,B4,OK,Y
LO170,C1169,A2169,34708.04,INACTIVE,LOAN,2021-07-28,B4,OK,Y
LO171,C1170,A2170,18539.29,INACTIVE,CURRENT,2024-08-29,B2,OK,N
LO172,C1171,A2171,4207.18,ACTIVE,SAVINGS,2023-03-04,B19,OK,Y
LO173,C1172,A2172,26178.15,PENDING,LOAN,2023-03-20,B16,OK,N
LO174,C1173,A2173,34015.94,ACTIVE,LOAN,2023-08-26,B9,OK,Y
LO175,C1174,A2174,8885.65,PENDING,LOAN,2020-12-06,B14,OK,N
LO176,C1175,A2175,46669.91,INACTIVE,SAVINGS,2025-02-05,B6,,N
LO177,C1176,A2176,8581.57,PENDING,CURRENT,2021-05-14,B7,OK,Y
LO178,C1177,A2177,14390.97,PENDING,SAVINGS,2023-07-22,B3,OK,Y
LO179,C1178,A2178,5772.18,INACTIVE,SAVINGS,2020-09-27,B13,OK,N
LO180,C1179,A2179,48774.98,PENDING,SAVINGS,2020-09-12,B20,OK,Y
LO181,C1180,A2180,6597.85,INACTIVE,CURRENT,2021-05-03,B6,OK,N
LO182,C1181,A2181,11711.29,PENDING,SAVINGS,2023-05-25,B9,OK,N
LO183,C1182,A2182,40342.24,PENDING,LOAN,2023-12-09,B10,OK,Y
LO184,C1183,A2183,31832.57,PENDING,SAVINGS,2025-01-19,B2,OK,Y
LO185,C1184,A2184,31716.8,ACTIVE,LOAN,2020-01-20,B17,OK,N
LO186,C1185,A2185,27300.65,ACTIVE,LOAN,2020-03-11,B12,OK,N
LO187,C1186,A2186,27291.05,PENDING,SAVINGS,2021-04-19,B11,OK,Y
LO188,C1187,A2187,35341.27,PENDING,SAVINGS,2024-11-24,B19,OK,N
LO189,C1188,A2188,33166.32,PENDING,SAVINGS,2020-09-13,B7,OK,Y
LO190,C1189,A2189,25713.84,ACTIVE,CURRENT,2022-07-25,B9,OK,Y
LO191,C1190,A2190,5863.49,ACTIVE,SAVINGS,2021-08-09,B16,OK,Y
LO192,C1191,A2191,6020.88,INACTIVE,LOAN,2022-01-29,B12,OK,Y
LO193,C1192,A2192,10597.59,ACTIVE,SAVINGS,2021-11-26,B9,OK,N
LO194,C1193,A2193,18124.39,ACTIVE,SAVINGS,2021-03-12,B6,OK,N
LO195,C1194,A2194,32287.07,ACTIVE,LOAN,2020-01-26,B15,OK,N
LO196,C1195,A2195,18904.29,INACTIVE,LOAN,2022-01-29,B16,OK,Y
LO197,C1196,A2196,32394.41,PENDING,SAVINGS,2024-07-18,B2,OK,N
LO198,C1197,A2197,20349.94,INACTIVE,LOAN,2022-04-01,B6,OK,N
LO199,C1198,A2198,31933.45,PENDING,SAVINGS,2024-10-08,B10,OK,Y
LO200,C1199,A2199,21238.72,INACTIVE,SAVINGS,2022-04-06,B7,OK,N
LO201,C1200,A2200,,INACTIVE,SAVINGS,2023-05-10,B7,,Y
LO202,C1201,A2201,34215.04,ACTIVE,LOAN,2023-12-08,B11,OK,Y
LO203,C1202,A2202,31463.32,INACTIVE,SAVINGS,2022-02-27,B10,OK,Y
LO204,C1203,A2203,31586.81,ACTIVE,CURRENT,2020-02-02,B4,OK,Y
LO205,C1204,A2204,46791.6,ACTIVE,SAVINGS,2022-04-08,B20,OK,N
LO206,C1205,A2205,7690.9,ACTIVE,SAVINGS,2021-01-26,B14,OK,N
LO207,C1206,A2206,42509.27,INACTIVE,SAVINGS,2024-01-17,B8,OK,Y
LO208,C1207,A2207,4711.28,PENDING,CURRENT,2021-12-11,B11,OK,N
LO209,C1208,A2208,13194.17,INACTIVE,LOAN,2021-04-11,B3,OK,N
LO210,C1209,A2209,40461.59,PENDING,CURRENT,2023-07-20,B1,OK,N
LO211,C1210,A2210,46707.29,INACTIVE,LOAN,2023-10-17,B10,OK,N
LO212,C1211,A2211,35053.15,PENDING,CURRENT,2021-10-22,B18,OK,N
LO213,C1212,A2212,47447.44,ACTIVE,CURRENT,2021-01-25,B15,OK,Y
LO214,C1213,A2213,10831.78,INACTIVE,CURRENT,2020-01-11,B2,OK,N
LO215,C1214,A2214,6323.92,INACTIVE,SAVINGS,2021-08-24,B18,OK,Y
LO216,C1215,A2215,16133.85,INACTIVE,CURRENT,2025-02-04,B19,OK,Y
LO217,C1216,A2216,40822.99,ACTIVE,SAVINGS,2022-02-11,B19,OK,N
LO218,C1217,A2217,30757.88,PENDING,LOAN,2020-04-12,B10,OK,N
LO219,C1218,A2218,25286.22,PENDING,CURRENT,2023-08-14,B1,OK,Y
LO220,C1219,A2219,23811.32,ACTIVE,SAVINGS,2022-03-11,B14,OK,Y
LO221,C1220,A2220,10255.04,PENDING,CURRENT,2024-01-12,B12,OK,N
LO222,C1221,A2221,22534.87,INACTIVE,SAVINGS,2022-10-19,B6,OK,Y
LO223,C1222,A2222,48468.35,ACTIVE,LOAN,2022-05-19,B12,OK,Y
LO224,C1223,A2223,9002.23,PENDING,LOAN,2021-12-28,B20,OK,N
LO225,C1224,A2224,7069.82,PENDING,SAVINGS,2025-04-15,B8,OK,N
LO226,C1225,A2225,27520.66,PENDING,SAVINGS,2024-07-04,B3,,Y
LO227,C1226,A2226,28151.35,INACTIVE,SAVINGS,2021-10-20,B8,OK,Y
LO228,C1227,A2227,21487.96,ACTIVE,CURRENT,2021-01-08,B16,OK,Y
LO229,C1228,A2228,48494.08,PENDING,LOAN,2023-03-18,B7,OK,N
LO230,C1229,A2229,8371.64,INACTIVE,LOAN,2024-03-18,B4,OK,Y
LO231,C1230,A2230,5119.93,PENDING,CURRENT,2024-05-26,B4,OK,N
LO232,C1231,A2231,10136.54,INACTIVE,LOAN,2021-04-05,B1,OK,N
LO233,C1232,A2232,38951.21,INACTIVE,CURRENT,2022-07-14,B15,OK,Y
LO234,C1233,A2233,21626.59,INACTIVE,LOAN,2025-04-30,B3,OK,N
LO235,C1234,A2234,33089.95,INACTIVE,SAVINGS,2020-08-01,B12,OK,N
LO236,C1235,A2235,17561.76,INACTIVE,CURRENT,2025-02-23,B7,OK,Y
LO237,C1236,A2236,41144.16,ACTIVE,SAVINGS,2020-08-25,B1,OK,Y
LO238,C1237,A2237,24354.77,INACTIVE,CURRENT,2024-12-04,B10,OK,Y
LO239,C1238,A2238,41115.45,PENDING,LOAN,2024-04-20,B18,OK,Y
LO240,C1239,A2239,40560.73,INACTIVE,LOAN,2021-05-03,B4,OK,N
LO241,C1240,A2240,,PENDING,CURRENT,2021-10-21,B19,OK,N
LO242,C1241,A2241,7764.82,INACTIVE,LOAN,2021-04-11,B11,OK,Y
LO243,C1242,A2242,27701.35,PENDING,CURRENT,2020-09-19,B18,OK,Y
LO244,C1243,A2243,19768.06,PENDING,CURRENT,2020-03-16,B1,OK,Y
LO245,C1244,A2244,20343.89,INACTIVE,SAVINGS,2022-10-24,B15,OK,N
LO246,C1245,A2245,31827.86,INACTIVE,LOAN,2022-03-28,B13,OK,N
LO247,C1246,A2246,12672.03,ACTIVE,SAVINGS,2025-04-10,B5,OK,N
LO248,C1247,A2247,3243.21,INACTIVE,SAVINGS,2020-05-04,B13,OK,N
LO249,C1248,A2248,43518.81,ACTIVE,CURRENT,2025-02-04,B8,OK,N
LO250,C1249,A2249,17040.58,ACTIVE,SAVINGS,2021-06-26,B13,OK,N
LO251,C1250,A2250,23528.56,INACTIVE,LOAN,2022-08-12,B9,,Y
LO252,C1251,A2251,23323.04,INACTIVE,LOAN,2022-05-22,B20,OK,Y
LO253,C1252,A2252,29803.62,PENDING,CURRENT,2020-12-14,B6,OK,N
LO254,C1253,A2253,27616.22,PENDING,LOAN,2020-02-17,B7,OK,Y
LO255,C1254,A2254,18685.76,ACTIVE,LOAN,2023-12-19,B15,OK,Y
LO256,C1255,A2255,16272.89,ACTIVE,SAVINGS,2022-11-29,B12,OK,Y
LO257,C1256,A2256,35085.91,INACTIVE,SAVINGS,2021-05-13,B12,OK,Y
LO258,C1257,A2257,13383.07,PENDING,CURRENT,2023-04-04,B2,OK,Y
LO259,C1258,A2258,13009.87,PENDING,CURRENT,2022-10-17,B4,OK,N
LO260,C1259,A2259,33559.48,INACTIVE,SAVINGS,2024-09-12,B2,OK,N
LO261,C1260,A2260,24403.2,PENDING,LOAN,2021-06-25,B7,OK,N
LO262,C1261,A2261,36266.54,ACTIVE,LOAN,2024-03-18,B12,OK,Y
LO263,C1262,A2262,28118.63,INACTIVE,CURRENT,2022-08-20,B12,OK,Y
LO264,C1263,A2263,16508.18,INACTIVE,SAVINGS,2024-12-15,B15,OK,N
LO265,C1264,A2264,12544.11,PENDING,SAVINGS,2021-03-29,B6,OK,N
LO266,C1265,A2265,33251.49,ACTIVE,SAVINGS,2020-10-11,B7,OK,Y
LO267,C1266,A2266,27979.92,ACTIVE,CURRENT,2024-03-31,B5,OK,Y
LO268,C1267,A2267,16990.43,INACTIVE,SAVINGS,2020-02-02,B13,OK,Y
LO269,C1268,A2268,18959.35,PENDING,LOAN,2024-12-27,B5,OK,Y
LO270,C1269,A2269,25468.86,INACTIVE,SAVINGS,2023-03-23,B11,OK,Y
LO271,C1270,A2270,28921.99,ACTIVE,LOAN,2024-04-18,B1,OK,Y
LO272,C1271,A2271,26256.98,INACTIVE,LOAN,2022-06-18,B4,OK,Y
LO273,C1272,A2272,868.16,ACTIVE,LOAN,2025-03-15,B18,OK,Y
LO274,C1273,A2273,15245.29,PENDING,SAVINGS,2022-05-03,B18,OK,Y
LO275,C1274,A2274,40842.07,PENDING,LOAN,2021-06-19,B6,OK,Y
LO276,C1275,A2275,1159.47,ACTIVE,SAVINGS,2020-12-20,B4,,N
LO277,C1276,A2276,2414.32,PENDING,LOAN,2023-09-19,B10,OK,Y
LO278,C1277,A2277,29846.39,ACTIVE,SAVINGS,2020-04-13,B8,OK,Y
LO279,C1278,A2278,21095.74,ACTIVE,SAVINGS,2025-04-04,B1,OK,N
LO280,C1279,A2279,49899.16,ACTIVE,SAVINGS,2022-10-17,B9,OK,N
LO281,C1280,A2280,,PENDING,LOAN,2021-12-29,B19,OK,N
LO282,C1281,A2281,30367.41,PENDING,CURRENT,2022-05-02,B8,OK,N
LO283,C1282,A2282,23302.54,INACTIVE,SAVINGS,2021-01-19,B11,OK,Y
LO284,C1283,A2283,5012.85,INACTIVE,CURRENT,2020-04-02,B6,OK,N
LO285,C1284,A2284,34035.35,ACTIVE,CURRENT,2024-01-11,B14,OK,Y
LO286,C1285,A2285,38852.53,ACTIVE,LOAN,2024-07-17,B2,OK,N
LO287,C1286,A2286,40689.48,PENDING,LOAN,2025-02-21,B10,OK,N
LO288,C1287,A2287,45239.67,PENDING,LOAN,2022-02-10,B8,OK,Y
LO289,C1288,A2288,17172.06,INACTIVE,CURRENT,2023-03-15,B11,OK,N
LO290,C1289,A2289,13074.29,PENDING,LOAN,2020-06-19,B16,OK,Y
LO291,C1290,A2290,47252.09,INACTIVE,LOAN,2023-10-07,B19,OK,Y
LO292,C1291,A2291,27052.35,PENDING,SAVINGS,2025-03-28,B15,OK,N
LO293,C1292,A2292,34306.23,INACTIVE,CURRENT,2020-06-02,B18,OK,Y
LO294,C1293,A2293,11109.66,PENDING,SAVINGS,2021-12-28,B11,OK,Y
LO295,C1294,A2294,44939.4,ACTIVE,LOAN,2024-12-01,B7,OK,Y
LO296,C1295,A2295,10329.17,ACTIVE,LOAN,2023-07-26,B14,OK,Y
LO297,C1296,A2296,48526.0,INACTIVE,CURRENT,2023-10-24,B1,OK,N
LO298,C1297,A2297,40974.39,ACTIVE,SAVINGS,2025-01-07,B14,OK,N
LO299,C1298,A2298,8666.78,ACTIVE,SAVINGS,2024-08-13,B19,OK,Y
LO300,C1299,A2299,815.23,INACTIVE,SAVINGS,2024-12-02,B3,OK,Y
LO301,C1300,A2300,7002.49,ACTIVE,CURRENT,2024-07-06,B9,,Y
LO302,C1301,A2301,17270.45,PENDING,CURRENT,2025-01-20,B16,OK,N
LO303,C1302,A2302,30056.84,INACTIVE,LOAN,2024-09-23,B19,OK,N
LO304,C1303,A2303,5120.91,INACTIVE,SAVINGS,2022-07-24,B19,OK,N
LO305,C1304,A2304,14025.98,INACTIVE,SAVINGS,2021-09-11,B5,OK,N
LO306,C1305,A2305,32556.26,ACTIVE,SAVINGS,2021-01-04,B6,OK,N
LO307,C1306,A2306,43034.0,ACTIVE,CURRENT,2020-12-15,B10,OK,N
LO308,C1307,A2307,31021.92,ACTIVE,CURRENT,2025-02-04,B4,OK,N
LO309,C1308,A2308,18128.58,ACTIVE,SAVINGS,2021-03-11,B13,OK,Y
LO310,C1309,A2309,1463.82,INACTIVE,CURRENT,2022-03-02,B4,OK,Y
LO311,C1310,A2310,30681.88,ACTIVE,SAVINGS,2021-03-05,B15,OK,Y
