document_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
DO127,C1126,A2126,3179.96,ACTIVE,LOAN,2025-06-08,B18,OK,Y
DO128,C1127,A2127,2765.94,PENDING,CURRENT,2020-12-05,B12,OK,N
DO129,C1128,A2128,11829.88,INACTIVE,SAVINGS,2023-07-15,B4,OK,Y
DO130,C1129,A2129,20110.45,PENDING,LOAN,2022-11-12,B17,OK,Y
DO131,C1130,A2130,47403.61,INACTIVE,LOAN,2024-03-21,B3,OK,N
DO132,C1131,A2131,26242.48,ACTIVE,LOAN,2021-09-08,B6,OK,Y
DO133,C1132,A2132,39282.31,ACTIVE,SAVINGS,2024-09-04,B5,OK,N
DO134,C1133,A2133,31064.23,INACTIVE,LOAN,2024-10-17,B14,OK,Y
DO135,C1134,A2134,49074.91,ACTIVE,LOAN,2025-05-27,B7,OK,N
DO136,C1135,A2135,3384.88,PENDING,LOAN,2021-12-09,B4,OK,N
DO137,C1136,A2136,27374.27,INACTIVE,SAVINGS,2024-03-22,B16,OK,N
DO138,C1137,A2137,48831.81,ACTIVE,CURRENT,2020-02-19,B20,OK,Y
DO139,C1138,A2138,7206.85,ACTIVE,SAVINGS,2023-08-04,B4,OK,Y
DO140,C1139,A2139,25687.38,PENDING,CURRENT,2022-12-25,B7,OK,N
DO141,C1140,A2140,11757.03,PENDING,CURRENT,2024-08-31,B4,OK,N
DO142,C1141,A2141,2559.3,PENDING,SAVINGS,2022-08-25,B8,OK,Y
DO143,C1142,A2142,12154.54,INACTIVE,SAVINGS,2021-12-27,B12,OK,N
DO144,C1143,A2143,25174.74,ACTIVE,LOAN,2023-01-13,B12,OK,N
DO145,C1144,A2144,17394.55,INACTIVE,LOAN,2023-01-17,B12,OK,Y
DO146,C1145,A2145,27936.08,PENDING,LOAN,2022-05-25,B18,OK,Y
DO147,C1146,A2146,45796.94,INACTIVE,CURRENT,2023-02-17,B6,OK,Y
DO148,C1147,A2147,28409.19,INACTIVE,SAVINGS,2021-05-15,B1,OK,N
DO149,C1148,A2148,39047.22,INACTIVE,SAVINGS,2024-12-18,B11,OK,N
DO150,C1149,A2149,7740.57,PENDING,LOAN,2025-01-15,B5,OK,N
DO151,C1150,A2150,29219.93,PENDING,CURRENT,2020-09-07,B15,,Y
DO152,C1151,A2151,8266.8,ACTIVE,SAVINGS,2020-03-28,B2,OK,N
DO153,C1152,A2152,26698.8,PENDING,SAVINGS,2023-06-10,B5,OK,Y
DO154,C1153,A2153,30647.43,PENDING,LOAN,2024-02-28,B13,OK,N
DO155,C1154,A2154,43450.21,ACTIVE,LOAN,2023-09-21,B20,OK,N
DO156,C1155,A2155,1677.89,PENDING,LOAN,2020-07-01,B13,OK,Y
DO157,C1156,A2156,29906.99,PENDING,SAVINGS,2023-08-27,B5,OK,Y
DO158,C1157,A2157,23201.41,PENDING,SAVINGS,2021-10-07,B12,OK,Y
DO159,C1158,A2158,33779.16,PENDING,SAVINGS,2023-08-09,B6,OK,N
DO160,C1159,A2159,43879.92,PENDING,CURRENT,2023-08-24,B2,OK,Y
DO161,C1160,A2160,,ACTIVE,LOAN,2022-09-10,B16,OK,N
DO162,C1161,A2161,1528.35,INACTIVE,SAVINGS,2023-04-18,B7,OK,Y
DO163,C1162,A2162,16321.79,PENDING,CURRENT,2021-02-12,B6,OK,Y
DO164,C1163,A2163,7615.18,ACTIVE,SAVINGS,2024-06-09,B13,OK,Y
DO165,C1164,A2164,45110.42,INACTIVE,LOAN,2021-01-27,B18,OK,Y
DO166,C1165,A2165,44415.74,PENDING,CURRENT,2024-04-01,B1,OK,N
DO167,C1166,A2166,47512.46,INACTIVE,CURRENT,2024-09-29,B1,OK,Y
DO168,C1167,A2167,47851.45,ACTIVE,CURRENT,2020-05-31,B7,OK,Y
DO169,C1168,A2168,45434.88,PENDING,CURRENT,2024-02-02,B2,OK,N
DO170,C1169,A2169,47184.59,PENDING,LOAN,2025-04-16,B17,OK,Y
DO171,C1170,A2170,20721.03,ACTIVE,CURRENT,2020-03-12,B3,OK,N
DO172,C1171,A2171,15054.7,PENDING,LOAN,2020-04-04,B19,OK,Y
DO173,C1172,A2172,12786.02,INACTIVE,CURRENT,2020-05-03,B9,OK,N
DO174,C1173,A2173,41063.26,INACTIVE,LOAN,2020-01-11,B8,OK,N
DO175,C1174,A2174,8749.76,INACTIVE,CURRENT,2024-06-21,B8,OK,Y
DO176,C1175,A2175,5429.69,INACTIVE,CURRENT,2020-11-30,B12,,N
DO177,C1176,A2176,45855.56,INACTIVE,LOAN,2021-11-08,B3,OK,Y
DO178,C1177,A2177,8823.94,INACTIVE,CURRENT,2025-05-19,B6,OK,N
DO179,C1178,A2178,14439.53,PENDING,SAVINGS,2022-02-22,B20,OK,N
DO180,C1179,A2179,9884.49,INACTIVE,LOAN,2020-12-29,B10,OK,Y
DO181,C1180,A2180,23504.64,INACTIVE,CURRENT,2023-08-10,B7,OK,Y
DO182,C1181,A2181,1307.97,ACTIVE,CURRENT,2021-08-09,B6,OK,Y
DO183,C1182,A2182,12699.47,ACTIVE,SAVINGS,2022-02-18,B19,OK,N
DO184,C1183,A2183,138.15,INACTIVE,SAVINGS,2020-10-20,B14,OK,N
DO185,C1184,A2184,48592.0,ACTIVE,CURRENT,2021-04-15,B9,OK,N
DO186,C1185,A2185,8174.13,ACTIVE,CURRENT,2025-06-23,B7,OK,Y
DO187,C1186,A2186,38950.46,ACTIVE,CURRENT,2022-03-03,B20,OK,N
DO188,C1187,A2187,21869.19,PENDING,CURRENT,2023-06-20,B5,OK,Y
DO189,C1188,A2188,13403.43,PENDING,SAVINGS,2024-07-19,B18,OK,N
DO190,C1189,A2189,24999.8,ACTIVE,CURRENT,2021-05-29,B18,OK,Y
DO191,C1190,A2190,41351.06,INACTIVE,CURRENT,2024-10-11,B6,OK,N
DO192,C1191,A2191,39111.61,ACTIVE,LOAN,2022-01-29,B20,OK,Y
DO193,C1192,A2192,18386.76,ACTIVE,SAVINGS,2020-06-24,B8,OK,N
DO194,C1193,A2193,27554.38,INACTIVE,SAVINGS,2024-03-11,B6,OK,Y
DO195,C1194,A2194,40663.74,ACTIVE,SAVINGS,2025-01-12,B15,OK,Y
DO196,C1195,A2195,49644.71,ACTIVE,SAVINGS,2020-07-10,B20,OK,N
DO197,C1196,A2196,6466.77,INACTIVE,SAVINGS,2025-04-14,B16,OK,N
DO198,C1197,A2197,34451.22,INACTIVE,CURRENT,2023-01-03,B4,OK,Y
DO199,C1198,A2198,26833.79,ACTIVE,CURRENT,2023-07-22,B11,OK,Y
DO200,C1199,A2199,44839.56,ACTIVE,CURRENT,2025-05-25,B15,OK,N
DO201,C1200,A2200,,PENDING,CURRENT,2022-05-22,B1,,N
DO202,C1201,A2201,5473.6,ACTIVE,CURRENT,2022-07-11,B19,OK,Y
DO203,C1202,A2202,46873.76,PENDING,CURRENT,2025-05-14,B15,OK,Y
DO204,C1203,A2203,14433.46,INACTIVE,CURRENT,2024-11-04,B2,OK,N
DO205,C1204,A2204,45237.78,INACTIVE,CURRENT,2023-04-01,B2,OK,Y
DO206,C1205,A2205,23808.37,PENDING,CURRENT,2020-09-13,B1,OK,Y
DO207,C1206,A2206,1464.24,ACTIVE,CURRENT,2025-01-08,B20,OK,Y
DO208,C1207,A2207,47517.91,PENDING,SAVINGS,2023-07-25,B4,OK,Y
DO209,C1208,A2208,2575.07,ACTIVE,CURRENT,2020-11-23,B14,OK,Y
DO210,C1209,A2209,5900.27,PENDING,LOAN,2024-12-30,B18,OK,N
DO211,C1210,A2210,43751.65,ACTIVE,CURRENT,2022-02-17,B9,OK,Y
DO212,C1211,A2211,32536.44,ACTIVE,SAVINGS,2023-11-06,B12,OK,N
DO213,C1212,A2212,24315.41,PENDING,LOAN,2022-10-22,B10,OK,Y
DO214,C1213,A2213,28008.28,INACTIVE,SAVINGS,2023-09-18,B13,OK,Y
DO215,C1214,A2214,5768.15,INACTIVE,SAVINGS,2020-04-11,B4,OK,Y
DO216,C1215,A2215,1895.87,PENDING,LOAN,2021-08-30,B17,OK,N
DO217,C1216,A2216,5034.19,PENDING,SAVINGS,2024-06-29,B13,OK,N
DO218,C1217,A2217,21186.43,INACTIVE,CURRENT,2025-03-18,B1,OK,Y
DO219,C1218,A2218,4084.91,INACTIVE,SAVINGS,2023-03-09,B18,OK,N
DO220,C1219,A2219,41028.44,INACTIVE,LOAN,2021-08-19,B18,OK,N
DO221,C1220,A2220,6261.55,ACTIVE,CURRENT,2024-09-01,B4,OK,Y
DO222,C1221,A2221,32383.02,ACTIVE,SAVINGS,2024-01-01,B9,OK,Y
DO223,C1222,A2222,30149.73,PENDING,CURRENT,2025-06-13,B3,OK,Y
DO224,C1223,A2223,12888.76,ACTIVE,SAVINGS,2022-02-05,B3,OK,Y
DO225,C1224,A2224,11107.79,INACTIVE,SAVINGS,2023-09-17,B7,OK,Y
DO226,C1225,A2225,3185.95,ACTIVE,CURRENT,2021-03-18,B6,,N
DO227,C1226,A2226,34833.88,PENDING,LOAN,2025-02-09,B8,OK,N
DO228,C1227,A2227,9900.91,PENDING,CURRENT,2020-01-31,B2,OK,Y
DO229,C1228,A2228,32886.8,PENDING,SAVINGS,2022-09-28,B6,OK,N
DO230,C1229,A2229,24665.15,INACTIVE,CURRENT,2021-04-03,B17,OK,Y
DO231,C1230,A2230,21801.99,ACTIVE,LOAN,2025-02-04,B11,OK,N
DO232,C1231,A2231,19794.01,PENDING,SAVINGS,2023-11-13,B4,OK,N
DO233,C1232,A2232,26565.33,PENDING,CURRENT,2021-06-07,B13,OK,Y
DO234,C1233,A2233,35402.19,ACTIVE,CURRENT,2025-05-22,B2,OK,N
DO235,C1234,A2234,17808.77,ACTIVE,LOAN,2025-04-24,B12,OK,N
DO236,C1235,A2235,33276.02,INACTIVE,SAVINGS,2024-09-08,B1,OK,N
DO237,C1236,A2236,31480.64,ACTIVE,CURRENT,2023-10-02,B8,OK,N
DO238,C1237,A2237,3481.38,ACTIVE,CURRENT,2025-02-26,B13,OK,N
DO239,C1238,A2238,24147.1,INACTIVE,LOAN,2023-01-08,B7,OK,Y
DO240,C1239,A2239,27708.06,INACTIVE,LOAN,2022-07-06,B6,OK,N
DO241,C1240,A2240,,ACTIVE,CURRENT,2023-10-04,B13,OK,N
DO242,C1241,A2241,17253.82,PENDING,SAVINGS,2020-06-18,B2,OK,Y
DO243,C1242,A2242,28137.42,INACTIVE,CURRENT,2021-12-16,B13,OK,Y
DO244,C1243,A2243,3899.14,ACTIVE,CURRENT,2024-02-04,B15,OK,Y
DO245,C1244,A2244,44403.54,ACTIVE,LOAN,2023-08-07,B2,OK,N
DO246,C1245,A2245,28612.73,INACTIVE,CURRENT,2022-09-22,B19,OK,N
DO247,C1246,A2246,35069.8,INACTIVE,CURRENT,2020-03-31,B11,OK,N
DO248,C1247,A2247,6419.16,PENDING,CURRENT,2024-02-01,B10,OK,Y
DO249,C1248,A2248,39589.82,ACTIVE,SAVINGS,2024-04-03,B13,OK,N
DO250,C1249,A2249,15892.22,PENDING,SAVINGS,2024-04-27,B6,OK,Y
DO251,C1250,A2250,8571.85,PENDING,SAVINGS,2020-09-02,B1,,N
DO252,C1251,A2251,11461.12,PENDING,LOAN,2024-09-24,B5,OK,N
DO253,C1252,A2252,23795.63,ACTIVE,CURRENT,2023-11-24,B11,OK,N
DO254,C1253,A2253,15016.69,PENDING,LOAN,2025-06-04,B7,OK,N
DO255,C1254,A2254,7944.16,ACTIVE,CURRENT,2025-05-16,B1,OK,N
DO256,C1255,A2255,18896.14,INACTIVE,CURRENT,2023-06-15,B9,OK,N
DO257,C1256,A2256,44567.07,PENDING,SAVINGS,2021-10-28,B20,OK,Y
DO258,C1257,A2257,22301.73,INACTIVE,SAVINGS,2022-12-16,B8,OK,N
DO259,C1258,A2258,35883.44,PENDING,LOAN,2024-10-19,B12,OK,N
DO260,C1259,A2259,8806.03,PENDING,LOAN,2023-04-14,B20,OK,Y
DO261,C1260,A2260,21371.87,INACTIVE,SAVINGS,2025-04-08,B17,OK,N
DO262,C1261,A2261,10235.44,INACTIVE,LOAN,2024-09-29,B20,OK,Y
DO263,C1262,A2262,39963.65,ACTIVE,SAVINGS,2021-10-22,B19,OK,Y
DO264,C1263,A2263,17760.38,INACTIVE,SAVINGS,2023-06-22,B12,OK,N
DO265,C1264,A2264,15095.82,INACTIVE,SAVINGS,2022-07-21,B18,OK,Y
DO266,C1265,A2265,35621.4,ACTIVE,SAVINGS,2022-07-09,B4,OK,N
DO267,C1266,A2266,38631.15,INACTIVE,LOAN,2020-03-06,B7,OK,Y
DO268,C1267,A2267,39545.37,ACTIVE,LOAN,2024-05-28,B9,OK,Y
DO269,C1268,A2268,38914.32,ACTIVE,LOAN,2021-10-29,B17,OK,Y
DO270,C1269,A2269,1913.83,PENDING,LOAN,2020-02-17,B13,OK,Y
DO271,C1270,A2270,17756.29,PENDING,CURRENT,2020-07-21,B7,OK,N
DO272,C1271,A2271,31093.93,INACTIVE,LOAN,2021-09-18,B11,OK,N
DO273,C1272,A2272,17360.87,ACTIVE,LOAN,2021-10-08,B20,OK,N
DO274,C1273,A2273,7756.96,INACTIVE,LOAN,2024-11-03,B8,OK,Y
DO275,C1274,A2274,15626.72,PENDING,CURRENT,2021-02-13,B13,OK,N
DO276,C1275,A2275,42040.01,ACTIVE,SAVINGS,2023-04-24,B2,,N
DO277,C1276,A2276,12680.9,PENDING,SAVINGS,2022-03-27,B13,OK,Y
DO278,C1277,A2277,9618.9,PENDING,LOAN,2023-12-15,B19,OK,N
DO279,C1278,A2278,33407.4,INACTIVE,LOAN,2025-01-25,B17,OK,N
DO280,C1279,A2279,36763.99,PENDING,LOAN,2023-08-10,B8,OK,Y
DO281,C1280,A2280,,INACTIVE,LOAN,2020-10-29,B13,OK,N
DO282,C1281,A2281,46473.14,ACTIVE,SAVINGS,2023-01-05,B1,OK,Y
DO283,C1282,A2282,39198.32,INACTIVE,LOAN,2022-03-25,B10,OK,Y
DO284,C1283,A2283,21217.21,INACTIVE,CURRENT,2024-02-11,B14,OK,N
DO285,C1284,A2284,46332.94,PENDING,CURRENT,2021-09-27,B8,OK,N
DO286,C1285,A2285,40741.21,INACTIVE,LOAN,2024-01-19,B19,OK,N
DO287,C1286,A2286,40109.69,ACTIVE,CURRENT,2025-02-25,B17,OK,Y
DO288,C1287,A2287,15742.97,INACTIVE,LOAN,2022-05-21,B19,OK,N
DO289,C1288,A2288,2695.93,PENDING,CURRENT,2023-10-26,B6,OK,N
DO290,C1289,A2289,2541.95,ACTIVE,CURRENT,2025-01-11,B2,OK,N
DO291,C1290,A2290,36371.12,INACTIVE,CURRENT,2020-03-30,B12,OK,Y
DO292,C1291,A2291,36700.02,ACTIVE,SAVINGS,2025-01-07,B20,OK,Y
DO293,C1292,A2292,981.19,ACTIVE,CURRENT,2020-08-26,B10,OK,N
DO294,C1293,A2293,41524.49,PENDING,SAVINGS,2023-05-20,B14,OK,N
DO295,C1294,A2294,10815.04,ACTIVE,CURRENT,2024-08-10,B15,OK,Y
DO296,C1295,A2295,23350.17,INACTIVE,LOAN,2023-11-03,B9,OK,N
DO297,C1296,A2296,46655.44,ACTIVE,SAVINGS,2024-05-16,B9,OK,Y
DO298,C1297,A2297,15757.83,INACTIVE,SAVINGS,2024-09-17,B7,OK,Y
DO299,C1298,A2298,7201.94,PENDING,CURRENT,2022-07-11,B16,OK,N
DO300,C1299,A2299,12753.87,ACTIVE,CURRENT,2021-09-30,B10,OK,Y
DO301,C1300,A2300,19884.29,INACTIVE,SAVINGS,2021-11-07,B7,,N
DO302,C1301,A2301,40623.74,PENDING,LOAN,2021-08-08,B17,OK,Y
DO303,C1302,A2302,4655.55,INACTIVE,CURRENT,2021-06-28,B15,OK,Y
DO304,C1303,A2303,1019.2,ACTIVE,CURRENT,2022-04-30,B14,OK,Y
DO305,C1304,A2304,19890.15,ACTIVE,CURRENT,2025-03-15,B7,OK,N
DO306,C1305,A2305,4524.7,INACTIVE,CURRENT,2023-03-09,B8,OK,N
DO307,C1306,A2306,35556.74,ACTIVE,SAVINGS,2024-07-16,B11,OK,N
DO308,C1307,A2307,26523.9,ACTIVE,CURRENT,2025-03-23,B10,OK,N
DO309,C1308,A2308,26142.28,INACTIVE,SAVINGS,2020-04-21,B13,OK,Y
DO310,C1309,A2309,45370.52,ACTIVE,LOAN,2021-12-21,B7,OK,N
DO311,C1310,A2310,41109.36,PENDING,CURRENT,2020-08-03,B18,OK,N
DO312,C1311,A2311,10890.48,PENDING,LOAN,2024-06-22,B13,OK,N
