alert_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
AL48,C1047,A2047,9501.27,INACTIVE,CURRENT,2024-08-08,B5,OK,N
AL49,C1048,A2048,20606.2,PENDING,LOAN,2021-01-24,B6,OK,Y
AL50,C1049,A2049,48285.18,PENDING,LOAN,2023-12-01,B5,OK,Y
AL51,C1050,A2050,14820.82,INACTIVE,SAVINGS,2024-08-03,B1,,N
AL52,C1051,A2051,38747.28,PENDING,LOAN,2025-06-22,B6,OK,Y
AL53,C1052,A2052,3569.92,INACTIVE,LOAN,2024-11-26,B18,OK,Y
AL54,C1053,A2053,2545.26,INACTIVE,SAVINGS,2022-04-02,B1,OK,Y
AL55,C1054,A2054,22717.18,ACTIVE,LOAN,2025-02-18,B8,OK,N
AL56,C1055,A2055,18401.46,INACTIVE,LOAN,2024-12-23,B13,OK,N
AL57,C1056,A2056,44847.84,ACTIVE,CURRENT,2025-02-22,B5,OK,Y
AL58,C1057,A2057,12097.33,INACTIVE,LOAN,2021-03-03,B1,OK,N
AL59,C1058,A2058,44269.27,INACTIVE,CURRENT,2020-02-19,B4,OK,Y
AL60,C1059,A2059,9769.56,ACTIVE,LOAN,2022-02-05,B8,OK,Y
AL61,C1060,A2060,29676.64,ACTIVE,CURRENT,2020-04-05,B12,OK,N
AL62,C1061,A2061,49312.26,INACTIVE,CURRENT,2024-10-08,B18,OK,Y
AL63,C1062,A2062,10247.11,ACTIVE,LOAN,2021-06-06,B10,OK,N
AL64,C1063,A2063,10599.03,PENDING,LOAN,2020-11-08,B9,OK,Y
AL65,C1064,A2064,25139.62,ACTIVE,LOAN,2024-01-11,B1,OK,N
AL66,C1065,A2065,24686.03,ACTIVE,LOAN,2023-09-08,B6,OK,N
AL67,C1066,A2066,18589.03,PENDING,CURRENT,2023-05-30,B6,OK,N
AL68,C1067,A2067,14246.13,INACTIVE,LOAN,2022-04-27,B12,OK,Y
AL69,C1068,A2068,14168.8,PENDING,CURRENT,2023-05-27,B12,OK,N
AL70,C1069,A2069,40038.94,ACTIVE,LOAN,2021-09-25,B13,OK,N
AL71,C1070,A2070,41788.13,ACTIVE,LOAN,2023-06-14,B12,OK,N
AL72,C1071,A2071,12360.8,INACTIVE,LOAN,2021-12-04,B13,OK,Y
AL73,C1072,A2072,36593.15,ACTIVE,CURRENT,2023-05-12,B5,OK,Y
AL74,C1073,A2073,49493.53,INACTIVE,CURRENT,2022-01-02,B9,OK,N
AL75,C1074,A2074,44005.24,INACTIVE,CURRENT,2023-10-14,B13,OK,N
AL76,C1075,A2075,17672.57,PENDING,LOAN,2020-03-23,B6,,Y
AL77,C1076,A2076,17887.14,ACTIVE,SAVINGS,2022-09-14,B9,OK,N
AL78,C1077,A2077,6757.41,PENDING,CURRENT,2021-02-20,B4,OK,N
AL79,C1078,A2078,33556.03,PENDING,SAVINGS,2024-12-14,B5,OK,N
AL80,C1079,A2079,13709.83,INACTIVE,LOAN,2020-03-28,B14,OK,N
AL81,C1080,A2080,,PENDING,SAVINGS,2021-10-29,B17,OK,Y
AL82,C1081,A2081,12432.25,INACTIVE,SAVINGS,2023-06-27,B1,OK,N
AL83,C1082,A2082,150.52,PENDING,LOAN,2023-07-25,B13,OK,N
AL84,C1083,A2083,14798.38,INACTIVE,LOAN,2021-08-10,B12,OK,N
AL85,C1084,A2084,43127.45,PENDING,CURRENT,2021-06-29,B6,OK,N
AL86,C1085,A2085,19602.21,PENDING,CURRENT,2020-01-21,B11,OK,Y
AL87,C1086,A2086,9406.8,INACTIVE,LOAN,2024-12-03,B12,OK,Y
AL88,C1087,A2087,38149.12,ACTIVE,LOAN,2021-12-27,B9,OK,Y
AL89,C1088,A2088,32609.1,PENDING,CURRENT,2021-05-20,B20,OK,N
AL90,C1089,A2089,9066.39,INACTIVE,SAVINGS,2022-07-05,B11,OK,Y
AL91,C1090,A2090,5563.41,ACTIVE,SAVINGS,2024-06-14,B15,OK,Y
AL92,C1091,A2091,31827.36,ACTIVE,CURRENT,2024-03-03,B10,OK,N
AL93,C1092,A2092,49089.1,PENDING,LOAN,2020-10-23,B13,OK,Y
AL94,C1093,A2093,43549.03,PENDING,SAVINGS,2025-01-17,B6,OK,N
AL95,C1094,A2094,13641.0,INACTIVE,LOAN,2024-12-30,B14,OK,Y
AL96,C1095,A2095,62.87,ACTIVE,CURRENT,2021-01-31,B19,OK,Y
AL97,C1096,A2096,43155.25,ACTIVE,SAVINGS,2024-09-05,B1,OK,N
AL98,C1097,A2097,24789.99,ACTIVE,SAVINGS,2020-05-11,B10,OK,Y
AL99,C1098,A2098,9322.73,INACTIVE,CURRENT,2021-11-22,B12,OK,Y
AL100,C1099,A2099,37669.23,INACTIVE,CURRENT,2023-12-19,B20,OK,Y
AL101,C1100,A2100,46422.36,INACTIVE,CURRENT,2024-08-05,B6,,Y
AL102,C1101,A2101,39405.62,PENDING,LOAN,2020-07-02,B7,OK,N
AL103,C1102,A2102,1360.19,PENDING,CURRENT,2022-01-25,B14,OK,N
AL104,C1103,A2103,34505.45,ACTIVE,CURRENT,2023-03-11,B4,OK,N
AL105,C1104,A2104,16712.6,ACTIVE,SAVINGS,2024-02-18,B4,OK,N
AL106,C1105,A2105,41050.44,ACTIVE,LOAN,2024-11-14,B19,OK,Y
AL107,C1106,A2106,48494.51,ACTIVE,SAVINGS,2024-03-08,B3,OK,N
AL108,C1107,A2107,46768.9,ACTIVE,SAVINGS,2024-08-29,B11,OK,N
AL109,C1108,A2108,33139.59,PENDING,SAVINGS,2025-06-15,B12,OK,Y
AL110,C1109,A2109,26325.15,PENDING,SAVINGS,2021-07-11,B17,OK,Y
AL111,C1110,A2110,1325.14,ACTIVE,CURRENT,2024-10-11,B19,OK,Y
AL112,C1111,A2111,31158.22,ACTIVE,LOAN,2020-09-18,B10,OK,Y
AL113,C1112,A2112,21559.97,ACTIVE,LOAN,2025-01-17,B9,OK,N
AL114,C1113,A2113,11496.65,PENDING,LOAN,2025-03-11,B18,OK,N
AL115,C1114,A2114,48027.72,PENDING,SAVINGS,2024-08-24,B2,OK,N
AL116,C1115,A2115,46343.38,INACTIVE,LOAN,2020-07-05,B14,OK,N
AL117,C1116,A2116,11201.23,INACTIVE,LOAN,2023-07-08,B19,OK,N
AL118,C1117,A2117,41191.35,PENDING,LOAN,2021-06-05,B12,OK,Y
AL119,C1118,A2118,158.42,PENDING,LOAN,2024-01-30,B3,OK,N
AL120,C1119,A2119,9683.92,ACTIVE,CURRENT,2021-02-19,B17,OK,N
AL121,C1120,A2120,,INACTIVE,CURRENT,2022-04-08,B8,OK,N
AL122,C1121,A2121,8353.97,PENDING,CURRENT,2025-02-15,B6,OK,N
AL123,C1122,A2122,20898.85,INACTIVE,LOAN,2024-07-12,B12,OK,Y
AL124,C1123,A2123,39682.27,PENDING,CURRENT,2020-05-31,B8,OK,Y
AL125,C1124,A2124,45053.11,ACTIVE,CURRENT,2021-11-22,B14,OK,N
AL126,C1125,A2125,49335.07,ACTIVE,SAVINGS,2025-03-01,B7,,N
AL127,C1126,A2126,26639.36,INACTIVE,SAVINGS,2023-03-18,B12,OK,N
AL128,C1127,A2127,24131.09,INACTIVE,LOAN,2021-10-03,B1,OK,N
AL129,C1128,A2128,5153.51,ACTIVE,LOAN,2022-08-03,B10,OK,N
AL130,C1129,A2129,17915.0,PENDING,LOAN,2024-11-19,B18,OK,Y
AL131,C1130,A2130,4549.62,INACTIVE,CURRENT,2024-09-16,B13,OK,N
AL132,C1131,A2131,45874.12,PENDING,LOAN,2021-03-15,B11,OK,Y
AL133,C1132,A2132,38200.02,ACTIVE,LOAN,2023-07-22,B17,OK,N
AL134,C1133,A2133,29275.57,PENDING,LOAN,2022-03-20,B7,OK,N
AL135,C1134,A2134,36248.39,INACTIVE,CURRENT,2023-06-27,B11,OK,N
AL136,C1135,A2135,10631.77,ACTIVE,LOAN,2023-12-19,B1,OK,Y
AL137,C1136,A2136,32454.76,INACTIVE,SAVINGS,2022-12-16,B4,OK,N
AL138,C1137,A2137,15442.17,ACTIVE,SAVINGS,2023-02-05,B14,OK,N
AL139,C1138,A2138,3099.96,PENDING,CURRENT,2024-07-13,B18,OK,Y
AL140,C1139,A2139,30109.0,INACTIVE,SAVINGS,2023-03-01,B3,OK,Y
AL141,C1140,A2140,36692.54,INACTIVE,LOAN,2020-08-28,B3,OK,Y
AL142,C1141,A2141,48674.91,PENDING,CURRENT,2023-12-05,B17,OK,N
AL143,C1142,A2142,29484.81,PENDING,LOAN,2024-09-22,B13,OK,Y
AL144,C1143,A2143,15330.31,ACTIVE,SAVINGS,2021-12-03,B1,OK,N
AL145,C1144,A2144,28842.11,ACTIVE,CURRENT,2024-11-06,B9,OK,Y
AL146,C1145,A2145,8350.05,INACTIVE,SAVINGS,2022-03-23,B6,OK,Y
AL147,C1146,A2146,5250.7,PENDING,SAVINGS,2025-01-28,B20,OK,N
AL148,C1147,A2147,45902.16,ACTIVE,SAVINGS,2021-10-06,B13,OK,N
AL149,C1148,A2148,7740.63,PENDING,CURRENT,2020-06-19,B10,OK,N
AL150,C1149,A2149,13045.12,ACTIVE,SAVINGS,2024-04-23,B18,OK,N
AL151,C1150,A2150,31408.94,INACTIVE,CURRENT,2023-06-08,B1,,N
AL152,C1151,A2151,9077.7,PENDING,LOAN,2020-11-06,B8,OK,Y
AL153,C1152,A2152,9758.33,PENDING,LOAN,2021-03-23,B5,OK,N
AL154,C1153,A2153,202.04,INACTIVE,SAVINGS,2022-04-16,B7,OK,N
AL155,C1154,A2154,41170.21,INACTIVE,CURRENT,2021-03-01,B9,OK,N
AL156,C1155,A2155,43633.03,INACTIVE,CURRENT,2024-04-06,B5,OK,N
AL157,C1156,A2156,39796.97,ACTIVE,CURRENT,2021-09-24,B14,OK,N
AL158,C1157,A2157,16230.87,ACTIVE,SAVINGS,2024-09-16,B18,OK,Y
AL159,C1158,A2158,4009.73,INACTIVE,SAVINGS,2023-05-29,B7,OK,Y
AL160,C1159,A2159,5206.96,ACTIVE,LOAN,2023-09-27,B10,OK,N
AL161,C1160,A2160,,INACTIVE,SAVINGS,2024-08-23,B8,OK,N
AL162,C1161,A2161,3877.63,INACTIVE,SAVINGS,2022-09-13,B17,OK,N
AL163,C1162,A2162,23809.47,PENDING,SAVINGS,2022-06-28,B11,OK,N
AL164,C1163,A2163,29695.67,PENDING,CURRENT,2021-12-14,B20,OK,N
AL165,C1164,A2164,29624.54,PENDING,CURRENT,2021-01-23,B12,OK,N
AL166,C1165,A2165,43988.14,INACTIVE,SAVINGS,2020-07-24,B13,OK,N
AL167,C1166,A2166,28572.84,ACTIVE,CURRENT,2021-06-01,B5,OK,N
AL168,C1167,A2167,26543.02,PENDING,SAVINGS,2023-03-02,B17,OK,Y
AL169,C1168,A2168,494.15,PENDING,CURRENT,2025-01-07,B2,OK,N
AL170,C1169,A2169,10036.9,ACTIVE,SAVINGS,2021-05-08,B2,OK,Y
AL171,C1170,A2170,37172.78,ACTIVE,CURRENT,2022-07-29,B19,OK,Y
AL172,C1171,A2171,18288.73,INACTIVE,SAVINGS,2021-01-06,B15,OK,N
AL173,C1172,A2172,18415.56,INACTIVE,SAVINGS,2023-11-18,B16,OK,Y
AL174,C1173,A2173,11402.05,ACTIVE,LOAN,2024-01-07,B3,OK,N
AL175,C1174,A2174,22007.99,ACTIVE,LOAN,2023-05-02,B2,OK,Y
AL176,C1175,A2175,13355.21,ACTIVE,LOAN,2024-08-28,B11,,N
AL177,C1176,A2176,30624.69,ACTIVE,CURRENT,2023-02-04,B19,OK,N
AL178,C1177,A2177,18899.51,INACTIVE,LOAN,2023-01-27,B11,OK,Y
AL179,C1178,A2178,11290.41,PENDING,SAVINGS,2025-05-06,B8,OK,N
AL180,C1179,A2179,15285.08,ACTIVE,CURRENT,2020-01-04,B20,OK,Y
AL181,C1180,A2180,24307.88,ACTIVE,CURRENT,2020-02-01,B7,OK,N
AL182,C1181,A2181,39453.55,INACTIVE,CURRENT,2022-11-08,B8,OK,N
AL183,C1182,A2182,16157.42,INACTIVE,SAVINGS,2021-04-26,B16,OK,Y
AL184,C1183,A2183,11340.09,ACTIVE,SAVINGS,2023-06-27,B6,OK,N
AL185,C1184,A2184,43701.7,INACTIVE,CURRENT,2022-04-13,B11,OK,N
AL186,C1185,A2185,10972.78,ACTIVE,LOAN,2022-04-18,B17,OK,Y
AL187,C1186,A2186,2466.83,ACTIVE,LOAN,2023-04-06,B20,OK,N
AL188,C1187,A2187,41904.81,PENDING,SAVINGS,2024-09-06,B4,OK,Y
AL189,C1188,A2188,29289.78,INACTIVE,CURRENT,2024-12-23,B5,OK,Y
AL190,C1189,A2189,2165.46,ACTIVE,LOAN,2023-02-08,B5,OK,Y
AL191,C1190,A2190,37870.81,PENDING,SAVINGS,2023-06-22,B16,OK,Y
AL192,C1191,A2191,6610.51,ACTIVE,SAVINGS,2021-12-20,B18,OK,Y
AL193,C1192,A2192,46804.63,PENDING,LOAN,2025-06-17,B6,OK,Y
AL194,C1193,A2193,3586.59,INACTIVE,LOAN,2022-05-20,B2,OK,N
AL195,C1194,A2194,26615.57,PENDING,SAVINGS,2021-09-16,B2,OK,N
AL196,C1195,A2195,5149.27,ACTIVE,LOAN,2024-08-25,B16,OK,Y
AL197,C1196,A2196,44901.23,INACTIVE,CURRENT,2024-11-28,B19,OK,Y
AL198,C1197,A2197,28973.2,ACTIVE,LOAN,2022-12-31,B5,OK,Y
AL199,C1198,A2198,22066.56,PENDING,SAVINGS,2021-03-01,B7,OK,Y
AL200,C1199,A2199,49164.85,ACTIVE,SAVINGS,2024-07-10,B8,OK,Y
AL201,C1200,A2200,,PENDING,SAVINGS,2023-07-12,B19,,Y
AL202,C1201,A2201,11968.6,ACTIVE,LOAN,2022-12-01,B15,OK,Y
AL203,C1202,A2202,1728.1,ACTIVE,CURRENT,2021-08-29,B6,OK,Y
AL204,C1203,A2203,14979.84,PENDING,CURRENT,2023-10-29,B4,OK,Y
AL205,C1204,A2204,8256.79,INACTIVE,CURRENT,2022-01-13,B14,OK,Y
AL206,C1205,A2205,46066.75,INACTIVE,CURRENT,2022-07-11,B17,OK,Y
AL207,C1206,A2206,44251.67,INACTIVE,CURRENT,2022-05-23,B3,OK,Y
AL208,C1207,A2207,39158.96,ACTIVE,LOAN,2024-05-27,B11,OK,Y
AL209,C1208,A2208,28089.18,ACTIVE,SAVINGS,2023-05-31,B15,OK,Y
AL210,C1209,A2209,5629.33,PENDING,LOAN,2022-12-19,B15,OK,N
AL211,C1210,A2210,30399.76,INACTIVE,SAVINGS,2022-08-25,B1,OK,N
AL212,C1211,A2211,2163.44,PENDING,CURRENT,2021-12-15,B17,OK,Y
AL213,C1212,A2212,16025.09,INACTIVE,SAVINGS,2023-05-08,B12,OK,N
AL214,C1213,A2213,13085.07,PENDING,CURRENT,2024-08-29,B6,OK,N
AL215,C1214,A2214,27432.67,ACTIVE,LOAN,2022-08-30,B12,OK,N
AL216,C1215,A2215,31775.26,ACTIVE,SAVINGS,2022-12-02,B11,OK,Y
AL217,C1216,A2216,39435.82,ACTIVE,CURRENT,2023-01-21,B7,OK,Y
AL218,C1217,A2217,2339.64,PENDING,SAVINGS,2024-03-17,B12,OK,N
AL219,C1218,A2218,443.59,INACTIVE,CURRENT,2022-01-23,B8,OK,N
AL220,C1219,A2219,36978.6,ACTIVE,SAVINGS,2023-06-02,B13,OK,N
AL221,C1220,A2220,27971.35,ACTIVE,LOAN,2020-12-05,B15,OK,N
AL222,C1221,A2221,23049.96,INACTIVE,CURRENT,2022-11-03,B17,OK,N
AL223,C1222,A2222,47919.31,ACTIVE,CURRENT,2024-08-11,B19,OK,Y
AL224,C1223,A2223,14622.84,PENDING,SAVINGS,2021-07-04,B17,OK,Y
AL225,C1224,A2224,2023.86,ACTIVE,LOAN,2024-01-17,B14,OK,Y
AL226,C1225,A2225,8623.53,INACTIVE,SAVINGS,2023-04-22,B1,,N
AL227,C1226,A2226,38723.69,PENDING,CURRENT,2023-10-17,B16,OK,N
AL228,C1227,A2227,10109.84,PENDING,CURRENT,2024-03-05,B2,OK,N
AL229,C1228,A2228,12254.24,ACTIVE,CURRENT,2021-11-10,B5,OK,N
AL230,C1229,A2229,20056.11,ACTIVE,CURRENT,2025-04-12,B1,OK,Y
AL231,C1230,A2230,43805.45,PENDING,LOAN,2024-07-03,B4,OK,Y
AL232,C1231,A2231,8489.5,INACTIVE,SAVINGS,2021-01-09,B15,OK,Y
AL233,C1232,A2232,17767.58,ACTIVE,CURRENT,2024-02-29,B8,OK,N
AL234,C1233,A2233,30364.01,INACTIVE,LOAN,2021-04-28,B14,OK,N
AL235,C1234,A2234,42106.55,INACTIVE,CURRENT,2024-08-25,B4,OK,Y
AL236,C1235,A2235,46150.02,INACTIVE,LOAN,2020-09-29,B13,OK,N
AL237,C1236,A2236,39300.01,PENDING,CURRENT,2023-10-20,B3,OK,N
AL238,C1237,A2237,6068.76,INACTIVE,LOAN,2020-07-26,B16,OK,Y
AL239,C1238,A2238,41187.29,ACTIVE,LOAN,2025-03-27,B8,OK,Y
AL240,C1239,A2239,31232.03,INACTIVE,LOAN,2020-02-22,B2,OK,N
AL241,C1240,A2240,,INACTIVE,LOAN,2020-06-22,B4,OK,N
AL242,C1241,A2241,18974.75,ACTIVE,SAVINGS,2022-05-14,B15,OK,Y
AL243,C1242,A2242,29933.88,INACTIVE,LOAN,2020-01-07,B17,OK,N
AL244,C1243,A2243,4422.18,INACTIVE,SAVINGS,2021-11-03,B9,OK,Y
AL245,C1244,A2244,30089.89,ACTIVE,CURRENT,2023-02-07,B8,OK,Y
AL246,C1245,A2245,25645.08,PENDING,SAVINGS,2020-04-13,B2,OK,N
AL247,C1246,A2246,2198.07,INACTIVE,LOAN,2022-03-06,B17,OK,N
AL248,C1247,A2247,39110.86,INACTIVE,CURRENT,2020-06-20,B14,OK,N
AL249,C1248,A2248,24340.37,ACTIVE,CURRENT,2024-10-05,B19,OK,Y
AL250,C1249,A2249,28872.7,INACTIVE,LOAN,2020-07-04,B9,OK,Y
AL251,C1250,A2250,8259.95,ACTIVE,CURRENT,2023-01-07,B4,,N
AL252,C1251,A2251,21355.55,INACTIVE,CURRENT,2025-04-16,B17,OK,Y
AL253,C1252,A2252,28558.27,PENDING,CURRENT,2023-05-31,B9,OK,N
AL254,C1253,A2253,44092.19,INACTIVE,SAVINGS,2023-06-16,B16,OK,N
AL255,C1254,A2254,41401.7,INACTIVE,SAVINGS,2020-08-30,B14,OK,N
AL256,C1255,A2255,15622.33,ACTIVE,LOAN,2023-01-10,B4,OK,N
AL257,C1256,A2256,12551.84,PENDING,LOAN,2022-07-19,B6,OK,Y
AL258,C1257,A2257,15361.24,PENDING,CURRENT,2020-05-15,B9,OK,Y
AL259,C1258,A2258,43238.22,PENDING,SAVINGS,2020-01-01,B10,OK,Y
AL260,C1259,A2259,49302.27,PENDING,SAVINGS,2021-10-02,B4,OK,N
AL261,C1260,A2260,16903.85,INACTIVE,LOAN,2020-05-11,B5,OK,Y
AL262,C1261,A2261,24162.97,ACTIVE,LOAN,2020-12-28,B11,OK,Y
AL263,C1262,A2262,35742.67,ACTIVE,CURRENT,2022-09-16,B13,OK,Y
AL264,C1263,A2263,38469.04,PENDING,SAVINGS,2024-10-11,B13,OK,Y
AL265,C1264,A2264,31426.04,ACTIVE,SAVINGS,2022-05-27,B17,OK,Y
AL266,C1265,A2265,548.17,PENDING,CURRENT,2024-05-24,B6,OK,N
AL267,C1266,A2266,13704.4,INACTIVE,LOAN,2022-02-19,B11,OK,Y
AL268,C1267,A2267,46509.95,PENDING,CURRENT,2022-10-11,B13,OK,N
AL269,C1268,A2268,42135.81,ACTIVE,CURRENT,2021-10-25,B20,OK,N
AL270,C1269,A2269,29378.12,ACTIVE,LOAN,2021-11-06,B7,OK,Y
AL271,C1270,A2270,34508.93,PENDING,CURRENT,2021-09-18,B16,OK,N
AL272,C1271,A2271,18164.4,INACTIVE,LOAN,2022-10-07,B5,OK,Y
AL273,C1272,A2272,36635.56,ACTIVE,CURRENT,2025-01-13,B11,OK,Y
AL274,C1273,A2273,31687.2,PENDING,LOAN,2023-11-25,B14,OK,N
AL275,C1274,A2274,490.56,INACTIVE,SAVINGS,2022-04-26,B13,OK,Y
AL276,C1275,A2275,10018.37,INACTIVE,SAVINGS,2020-12-16,B8,,N
AL277,C1276,A2276,18414.01,ACTIVE,SAVINGS,2024-12-11,B20,OK,Y
AL278,C1277,A2277,35482.7,ACTIVE,CURRENT,2022-03-05,B13,OK,N
AL279,C1278,A2278,38746.4,PENDING,LOAN,2025-06-14,B4,OK,N
AL280,C1279,A2279,16314.68,INACTIVE,SAVINGS,2021-10-02,B11,OK,N
AL281,C1280,A2280,,PENDING,CURRENT,2022-02-25,B1,OK,N
AL282,C1281,A2281,1764.43,INACTIVE,LOAN,2023-10-31,B3,OK,Y
AL283,C1282,A2282,27917.41,PENDING,LOAN,2021-12-30,B10,OK,Y
AL284,C1283,A2283,11773.56,INACTIVE,SAVINGS,2022-04-09,B16,OK,N
AL285,C1284,A2284,47026.38,INACTIVE,LOAN,2025-03-17,B9,OK,N
AL286,C1285,A2285,37078.46,INACTIVE,SAVINGS,2022-03-07,B8,OK,N
AL287,C1286,A2286,41205.48,PENDING,LOAN,2021-09-20,B16,OK,N
AL288,C1287,A2287,47084.76,PENDING,CURRENT,2024-10-27,B16,OK,Y
AL289,C1288,A2288,18786.32,ACTIVE,CURRENT,2020-01-29,B17,OK,Y
AL290,C1289,A2289,30193.37,INACTIVE,LOAN,2022-03-15,B6,OK,N
AL291,C1290,A2290,34924.83,ACTIVE,CURRENT,2021-03-07,B5,OK,N
AL292,C1291,A2291,20337.64,PENDING,CURRENT,2021-02-15,B5,OK,Y
AL293,C1292,A2292,442.9,PENDING,LOAN,2022-10-26,B18,OK,N
AL294,C1293,A2293,30631.25,PENDING,CURRENT,2020-10-07,B8,OK,N
AL295,C1294,A2294,19737.36,PENDING,LOAN,2024-11-17,B4,OK,N
AL296,C1295,A2295,34530.96,ACTIVE,LOAN,2022-04-20,B3,OK,N
AL297,C1296,A2296,7317.41,INACTIVE,CURRENT,2022-05-31,B18,OK,Y
AL298,C1297,A2297,4990.61,INACTIVE,CURRENT,2020-03-10,B2,OK,N
AL299,C1298,A2298,6309.71,ACTIVE,SAVINGS,2021-12-09,B2,OK,N
AL300,C1299,A2299,9976.39,ACTIVE,SAVINGS,2022-05-19,B20,OK,N
AL301,C1300,A2300,24931.83,PENDING,LOAN,2022-09-21,B19,,N
AL302,C1301,A2301,25816.16,INACTIVE,LOAN,2025-03-24,B19,OK,Y
AL303,C1302,A2302,22285.53,ACTIVE,LOAN,2024-08-19,B10,OK,N
AL304,C1303,A2303,23870.92,INACTIVE,CURRENT,2021-10-02,B7,OK,Y
AL305,C1304,A2304,10256.82,PENDING,CURRENT,2022-07-23,B6,OK,N
AL306,C1305,A2305,43421.88,PENDING,SAVINGS,2020-08-15,B3,OK,Y
AL307,C1306,A2306,41692.22,INACTIVE,LOAN,2024-01-02,B12,OK,Y
AL308,C1307,A2307,26124.63,ACTIVE,SAVINGS,2024-07-09,B3,OK,Y
AL309,C1308,A2308,3291.98,ACTIVE,CURRENT,2025-06-15,B9,OK,N
AL310,C1309,A2309,42389.71,INACTIVE,CURRENT,2025-02-19,B3,OK,N
AL311,C1310,A2310,26476.85,INACTIVE,CURRENT,2025-06-15,B10,OK,N
AL312,C1311,A2311,20891.26,ACTIVE,CURRENT,2020-02-27,B11,OK,N
