transaction_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
TR37,C1036,A2036,41622.58,ACTIVE,CURRENT,2023-02-19,B15,OK,N
TR38,C1037,A2037,23489.86,INACTIVE,LOAN,2020-01-02,B14,OK,Y
TR39,C1038,A2038,35534.38,INACTIVE,LOAN,2025-04-01,B1,OK,N
TR40,C1039,A2039,5446.34,PENDING,SAVINGS,2022-05-27,B9,OK,Y
TR41,C1040,A2040,,PENDING,CURRENT,2023-03-08,B18,OK,N
TR42,C1041,A2041,12603.46,ACTIVE,LOAN,2024-03-12,B3,OK,N
TR43,C1042,A2042,20254.24,INACTIVE,CURRENT,2025-02-21,B17,OK,N
TR44,C1043,A2043,24989.96,PENDING,SAVINGS,2024-09-21,B2,OK,N
TR45,C1044,A2044,42475.98,ACTIVE,SAVINGS,2020-02-10,B12,OK,Y
TR46,C1045,A2045,35768.75,PENDING,CURRENT,2020-09-08,B8,OK,Y
TR47,C1046,A2046,22989.25,PENDING,SAVINGS,2020-12-09,B9,OK,N
TR48,C1047,A2047,45231.67,INACTIVE,SAVINGS,2021-04-22,B2,OK,N
TR49,C1048,A2048,32437.73,PENDING,LOAN,2025-01-28,B15,OK,N
TR50,C1049,A2049,41113.49,ACTIVE,CURRENT,2022-08-20,B5,OK,Y
TR51,C1050,A2050,9856.15,INACTIVE,SAVINGS,2021-06-09,B6,,N
TR52,C1051,A2051,31355.93,PENDING,CURRENT,2024-03-06,B6,OK,N
TR53,C1052,A2052,44522.34,INACTIVE,LOAN,2020-07-10,B12,OK,N
TR54,C1053,A2053,11542.44,PENDING,LOAN,2020-12-02,B15,OK,Y
TR55,C1054,A2054,47144.62,INACTIVE,SAVINGS,2021-11-20,B11,OK,N
TR56,C1055,A2055,41713.53,ACTIVE,SAVINGS,2021-06-10,B7,OK,Y
TR57,C1056,A2056,2905.81,PENDING,SAVINGS,2024-10-22,B15,OK,N
TR58,C1057,A2057,11129.9,PENDING,SAVINGS,2024-03-13,B3,OK,Y
TR59,C1058,A2058,42655.25,ACTIVE,SAVINGS,2022-06-11,B6,OK,Y
TR60,C1059,A2059,22004.66,INACTIVE,SAVINGS,2022-07-03,B20,OK,N
TR61,C1060,A2060,35369.84,PENDING,SAVINGS,2025-06-11,B18,OK,Y
TR62,C1061,A2061,12170.01,INACTIVE,CURRENT,2021-04-15,B17,OK,N
TR63,C1062,A2062,46984.96,PENDING,CURRENT,2025-04-01,B5,OK,N
TR64,C1063,A2063,32000.11,INACTIVE,SAVINGS,2020-02-07,B1,OK,N
TR65,C1064,A2064,25099.36,ACTIVE,CURRENT,2020-11-21,B2,OK,Y
TR66,C1065,A2065,1482.83,ACTIVE,SAVINGS,2024-01-25,B10,OK,N
TR67,C1066,A2066,36017.29,PENDING,LOAN,2022-10-19,B11,OK,Y
TR68,C1067,A2067,9985.97,INACTIVE,LOAN,2024-03-12,B3,OK,N
TR69,C1068,A2068,7230.53,ACTIVE,CURRENT,2022-02-14,B15,OK,N
TR70,C1069,A2069,30719.32,ACTIVE,SAVINGS,2021-04-22,B4,OK,Y
TR71,C1070,A2070,4416.58,INACTIVE,LOAN,2022-01-27,B3,OK,Y
TR72,C1071,A2071,29358.86,PENDING,CURRENT,2025-03-06,B8,OK,N
TR73,C1072,A2072,38721.17,PENDING,CURRENT,2024-07-15,B4,OK,Y
TR74,C1073,A2073,35778.29,ACTIVE,CURRENT,2025-04-20,B5,OK,Y
TR75,C1074,A2074,41772.89,INACTIVE,SAVINGS,2022-02-19,B5,OK,Y
TR76,C1075,A2075,46262.16,INACTIVE,LOAN,2022-11-13,B19,,N
TR77,C1076,A2076,42959.28,ACTIVE,SAVINGS,2024-12-27,B12,OK,N
TR78,C1077,A2077,24106.37,INACTIVE,SAVINGS,2023-04-16,B11,OK,Y
TR79,C1078,A2078,31367.36,INACTIVE,LOAN,2021-02-05,B20,OK,Y
TR80,C1079,A2079,46292.56,INACTIVE,CURRENT,2021-10-21,B4,OK,Y
TR81,C1080,A2080,,ACTIVE,CURRENT,2022-08-21,B11,OK,Y
TR82,C1081,A2081,2759.67,INACTIVE,SAVINGS,2022-07-19,B16,OK,Y
TR83,C1082,A2082,40127.97,INACTIVE,CURRENT,2023-06-14,B5,OK,N
TR84,C1083,A2083,5951.44,INACTIVE,SAVINGS,2021-11-30,B11,OK,Y
TR85,C1084,A2084,37957.37,INACTIVE,SAVINGS,2022-05-11,B5,OK,Y
TR86,C1085,A2085,44093.91,ACTIVE,CURRENT,2020-10-12,B13,OK,N
TR87,C1086,A2086,30923.56,PENDING,CURRENT,2023-05-18,B5,OK,Y
TR88,C1087,A2087,38228.64,PENDING,LOAN,2021-04-17,B7,OK,N
TR89,C1088,A2088,23653.68,PENDING,CURRENT,2021-06-01,B18,OK,Y
TR90,C1089,A2089,26426.23,PENDING,LOAN,2024-02-20,B9,OK,Y
TR91,C1090,A2090,48718.24,PENDING,LOAN,2022-03-16,B5,OK,Y
TR92,C1091,A2091,30522.5,ACTIVE,CURRENT,2020-08-21,B16,OK,N
TR93,C1092,A2092,45661.57,INACTIVE,SAVINGS,2025-04-07,B19,OK,Y
TR94,C1093,A2093,11132.33,INACTIVE,CURRENT,2023-06-05,B11,OK,N
TR95,C1094,A2094,35652.21,INACTIVE,SAVINGS,2022-04-19,B5,OK,Y
TR96,C1095,A2095,34181.33,INACTIVE,LOAN,2024-01-28,B2,OK,Y
TR97,C1096,A2096,9406.04,ACTIVE,LOAN,2021-11-25,B6,OK,Y
TR98,C1097,A2097,49571.36,ACTIVE,CURRENT,2020-04-17,B17,OK,N
TR99,C1098,A2098,43153.49,PENDING,CURRENT,2021-12-16,B14,OK,Y
TR100,C1099,A2099,17529.58,INACTIVE,SAVINGS,2021-04-05,B15,OK,Y
TR101,C1100,A2100,17849.61,INACTIVE,SAVINGS,2022-08-06,B17,,N
TR102,C1101,A2101,18878.69,INACTIVE,SAVINGS,2022-07-26,B15,OK,Y
TR103,C1102,A2102,13190.8,PENDING,SAVINGS,2024-05-25,B17,OK,N
TR104,C1103,A2103,21192.61,ACTIVE,CURRENT,2023-12-12,B15,OK,N
TR105,C1104,A2104,22040.09,ACTIVE,SAVINGS,2024-07-09,B8,OK,Y
TR106,C1105,A2105,11273.04,INACTIVE,SAVINGS,2024-09-27,B19,OK,Y
TR107,C1106,A2106,48131.88,INACTIVE,CURRENT,2024-09-05,B2,OK,Y
TR108,C1107,A2107,19442.48,INACTIVE,CURRENT,2023-09-17,B18,OK,N
TR109,C1108,A2108,15119.19,INACTIVE,CURRENT,2020-06-17,B2,OK,Y
TR110,C1109,A2109,27848.67,PENDING,CURRENT,2025-02-26,B7,OK,N
TR111,C1110,A2110,27864.92,ACTIVE,SAVINGS,2021-07-25,B3,OK,N
TR112,C1111,A2111,19617.96,PENDING,CURRENT,2021-08-21,B20,OK,N
TR113,C1112,A2112,48080.75,ACTIVE,CURRENT,2021-04-04,B7,OK,N
TR114,C1113,A2113,6076.37,INACTIVE,LOAN,2024-03-16,B18,OK,Y
TR115,C1114,A2114,1572.36,INACTIVE,SAVINGS,2024-10-27,B15,OK,Y
TR116,C1115,A2115,9644.62,ACTIVE,CURRENT,2020-09-28,B3,OK,N
TR117,C1116,A2116,3234.05,ACTIVE,SAVINGS,2022-10-09,B5,OK,N
TR118,C1117,A2117,21809.39,INACTIVE,SAVINGS,2023-05-28,B9,OK,Y
TR119,C1118,A2118,29859.19,ACTIVE,LOAN,2022-12-29,B18,OK,N
TR120,C1119,A2119,1684.26,PENDING,LOAN,2023-02-21,B5,OK,Y
TR121,C1120,A2120,,INACTIVE,SAVINGS,2020-09-28,B11,OK,N
TR122,C1121,A2121,27758.88,ACTIVE,LOAN,2024-05-13,B15,OK,N
TR123,C1122,A2122,16400.4,INACTIVE,CURRENT,2020-05-11,B13,OK,N
TR124,C1123,A2123,41771.77,ACTIVE,LOAN,2023-09-19,B4,OK,N
TR125,C1124,A2124,36532.47,ACTIVE,LOAN,2023-03-29,B13,OK,Y
TR126,C1125,A2125,48610.39,ACTIVE,LOAN,2023-04-18,B3,,Y
TR127,C1126,A2126,3138.37,PENDING,CURRENT,2023-02-06,B10,OK,Y
TR128,C1127,A2127,7195.14,INACTIVE,LOAN,2022-01-22,B5,OK,Y
TR129,C1128,A2128,10326.17,PENDING,SAVINGS,2022-10-14,B19,OK,N
TR130,C1129,A2129,7209.47,INACTIVE,CURRENT,2022-06-23,B9,OK,N
TR131,C1130,A2130,29595.06,INACTIVE,LOAN,2025-01-24,B13,OK,Y
TR132,C1131,A2131,1102.64,PENDING,SAVINGS,2021-05-19,B20,OK,N
TR133,C1132,A2132,48419.8,PENDING,SAVINGS,2020-06-18,B1,OK,Y
TR134,C1133,A2133,42847.0,INACTIVE,SAVINGS,2024-01-27,B7,OK,Y
TR135,C1134,A2134,27455.13,PENDING,SAVINGS,2020-05-05,B10,OK,N
TR136,C1135,A2135,29325.84,PENDING,LOAN,2021-11-14,B12,OK,N
TR137,C1136,A2136,18592.21,ACTIVE,SAVINGS,2023-06-09,B19,OK,N
TR138,C1137,A2137,46491.89,ACTIVE,CURRENT,2020-01-05,B6,OK,Y
TR139,C1138,A2138,13252.24,ACTIVE,CURRENT,2023-09-11,B7,OK,Y
TR140,C1139,A2139,20912.01,PENDING,LOAN,2021-02-19,B14,OK,N
TR141,C1140,A2140,2166.06,PENDING,SAVINGS,2024-07-31,B7,OK,Y
TR142,C1141,A2141,2879.32,ACTIVE,LOAN,2022-03-15,B20,OK,N
TR143,C1142,A2142,9207.7,PENDING,LOAN,2020-12-11,B6,OK,Y
TR144,C1143,A2143,24994.54,PENDING,SAVINGS,2025-01-31,B15,OK,Y
TR145,C1144,A2144,39467.27,INACTIVE,CURRENT,2021-12-17,B15,OK,Y
TR146,C1145,A2145,28628.26,ACTIVE,LOAN,2021-04-13,B7,OK,N
TR147,C1146,A2146,11979.16,PENDING,LOAN,2024-08-08,B14,OK,N
TR148,C1147,A2147,35816.84,ACTIVE,CURRENT,2024-09-22,B16,OK,N
TR149,C1148,A2148,40309.09,INACTIVE,LOAN,2023-10-16,B17,OK,N
TR150,C1149,A2149,2337.26,ACTIVE,LOAN,2020-11-13,B14,OK,Y
TR151,C1150,A2150,27204.16,INACTIVE,CURRENT,2022-11-15,B13,,N
TR152,C1151,A2151,4739.76,ACTIVE,SAVINGS,2022-03-11,B7,OK,Y
TR153,C1152,A2152,21616.72,PENDING,LOAN,2024-01-06,B20,OK,N
TR154,C1153,A2153,37620.23,PENDING,SAVINGS,2022-02-09,B10,OK,N
TR155,C1154,A2154,15646.76,ACTIVE,CURRENT,2023-09-21,B18,OK,Y
TR156,C1155,A2155,47793.18,ACTIVE,SAVINGS,2020-06-24,B9,OK,N
TR157,C1156,A2156,37039.21,INACTIVE,LOAN,2021-06-08,B2,OK,N
TR158,C1157,A2157,17242.72,INACTIVE,CURRENT,2021-02-22,B2,OK,N
TR159,C1158,A2158,45869.58,ACTIVE,SAVINGS,2025-03-29,B11,OK,N
TR160,C1159,A2159,30539.86,PENDING,CURRENT,2022-05-21,B10,OK,N
TR161,C1160,A2160,,PENDING,CURRENT,2021-06-15,B8,OK,N
TR162,C1161,A2161,19723.41,PENDING,CURRENT,2020-03-19,B19,OK,Y
TR163,C1162,A2162,39963.36,PENDING,SAVINGS,2023-09-12,B5,OK,Y
TR164,C1163,A2163,17585.95,ACTIVE,LOAN,2022-10-22,B15,OK,N
TR165,C1164,A2164,12542.67,ACTIVE,CURRENT,2021-10-08,B5,OK,N
TR166,C1165,A2165,3469.11,INACTIVE,SAVINGS,2022-03-30,B20,OK,Y
TR167,C1166,A2166,33886.1,INACTIVE,SAVINGS,2020-08-18,B5,OK,N
TR168,C1167,A2167,45879.65,INACTIVE,LOAN,2025-06-06,B19,OK,Y
TR169,C1168,A2168,23345.38,INACTIVE,LOAN,2020-06-16,B6,OK,Y
TR170,C1169,A2169,45314.97,ACTIVE,LOAN,2022-07-30,B5,OK,N
TR171,C1170,A2170,19192.52,PENDING,SAVINGS,2023-05-20,B2,OK,N
TR172,C1171,A2171,9842.74,INACTIVE,LOAN,2020-12-31,B18,OK,N
TR173,C1172,A2172,25276.62,PENDING,CURRENT,2025-02-17,B2,OK,Y
TR174,C1173,A2173,9625.08,INACTIVE,CURRENT,2023-11-22,B3,OK,Y
TR175,C1174,A2174,32388.83,INACTIVE,CURRENT,2022-11-11,B5,OK,N
TR176,C1175,A2175,6897.92,INACTIVE,LOAN,2021-04-23,B10,,N
TR177,C1176,A2176,31138.36,PENDING,SAVINGS,2023-12-08,B2,OK,Y
TR178,C1177,A2177,30297.77,INACTIVE,CURRENT,2023-09-12,B13,OK,Y
TR179,C1178,A2178,33643.59,ACTIVE,SAVINGS,2022-10-07,B5,OK,N
TR180,C1179,A2179,44783.11,ACTIVE,SAVINGS,2023-11-20,B16,OK,N
TR181,C1180,A2180,17826.26,INACTIVE,LOAN,2022-11-21,B18,OK,Y
TR182,C1181,A2181,38893.21,ACTIVE,SAVINGS,2022-04-28,B3,OK,Y
TR183,C1182,A2182,12864.48,INACTIVE,LOAN,2025-01-18,B15,OK,N
TR184,C1183,A2183,31471.23,INACTIVE,SAVINGS,2022-10-04,B16,OK,Y
TR185,C1184,A2184,1339.68,INACTIVE,SAVINGS,2021-08-08,B18,OK,N
TR186,C1185,A2185,9536.5,PENDING,LOAN,2022-03-28,B1,OK,Y
TR187,C1186,A2186,32140.74,INACTIVE,CURRENT,2022-06-30,B10,OK,Y
TR188,C1187,A2187,47690.53,ACTIVE,LOAN,2025-04-14,B11,OK,Y
TR189,C1188,A2188,6809.98,INACTIVE,CURRENT,2021-05-10,B20,OK,Y
TR190,C1189,A2189,41285.16,ACTIVE,CURRENT,2025-01-07,B15,OK,N
TR191,C1190,A2190,38453.44,ACTIVE,CURRENT,2020-12-26,B4,OK,Y
TR192,C1191,A2191,14251.77,ACTIVE,SAVINGS,2020-08-04,B7,OK,N
TR193,C1192,A2192,46079.21,INACTIVE,CURRENT,2024-03-24,B9,OK,N
TR194,C1193,A2193,5493.53,INACTIVE,SAVINGS,2021-07-29,B11,OK,N
TR195,C1194,A2194,41592.9,PENDING,CURRENT,2020-03-13,B10,OK,Y
TR196,C1195,A2195,12765.58,PENDING,LOAN,2025-05-19,B17,OK,Y
TR197,C1196,A2196,37705.91,INACTIVE,CURRENT,2020-08-15,B3,OK,N
TR198,C1197,A2197,17669.03,ACTIVE,SAVINGS,2023-11-19,B17,OK,N
TR199,C1198,A2198,18739.59,INACTIVE,CURRENT,2025-01-30,B6,OK,Y
TR200,C1199,A2199,23409.67,INACTIVE,SAVINGS,2023-05-16,B8,OK,N
TR201,C1200,A2200,,ACTIVE,LOAN,2022-05-23,B18,,N
TR202,C1201,A2201,5482.82,ACTIVE,LOAN,2022-07-29,B6,OK,N
TR203,C1202,A2202,24531.26,ACTIVE,LOAN,2020-05-09,B1,OK,N
TR204,C1203,A2203,28556.09,PENDING,SAVINGS,2021-05-04,B2,OK,N
TR205,C1204,A2204,20707.9,PENDING,LOAN,2024-12-01,B15,OK,N
TR206,C1205,A2205,28489.47,PENDING,CURRENT,2022-11-23,B12,OK,Y
TR207,C1206,A2206,9013.4,ACTIVE,CURRENT,2024-07-29,B12,OK,N
TR208,C1207,A2207,36295.4,PENDING,SAVINGS,2020-05-15,B20,OK,N
TR209,C1208,A2208,42297.01,PENDING,SAVINGS,2021-08-24,B16,OK,N
TR210,C1209,A2209,35334.3,ACTIVE,SAVINGS,2023-10-10,B19,OK,Y
TR211,C1210,A2210,2514.79,PENDING,LOAN,2021-11-26,B10,OK,Y
TR212,C1211,A2211,27768.96,ACTIVE,LOAN,2023-09-05,B6,OK,Y
TR213,C1212,A2212,34045.37,INACTIVE,LOAN,2023-06-08,B11,OK,Y
TR214,C1213,A2213,30293.56,INACTIVE,LOAN,2025-02-28,B6,OK,Y
TR215,C1214,A2214,38223.94,ACTIVE,SAVINGS,2020-06-05,B13,OK,N
TR216,C1215,A2215,45014.38,ACTIVE,SAVINGS,2020-01-11,B14,OK,Y
TR217,C1216,A2216,12302.26,INACTIVE,SAVINGS,2022-01-26,B12,OK,Y
TR218,C1217,A2217,42732.57,PENDING,LOAN,2020-07-11,B11,OK,N
TR219,C1218,A2218,31608.4,INACTIVE,SAVINGS,2022-04-06,B18,OK,Y
TR220,C1219,A2219,21656.58,PENDING,LOAN,2022-02-09,B1,OK,N
TR221,C1220,A2220,25737.49,ACTIVE,CURRENT,2022-10-13,B13,OK,N
TR222,C1221,A2221,2501.02,ACTIVE,CURRENT,2023-05-26,B14,OK,Y
TR223,C1222,A2222,34543.17,INACTIVE,SAVINGS,2020-10-15,B16,OK,N
TR224,C1223,A2223,15683.95,ACTIVE,CURRENT,2022-02-02,B12,OK,Y
TR225,C1224,A2224,39183.17,INACTIVE,SAVINGS,2024-01-04,B2,OK,Y
TR226,C1225,A2225,2479.71,INACTIVE,CURRENT,2021-11-12,B2,,Y
TR227,C1226,A2226,6391.0,ACTIVE,CURRENT,2025-05-27,B7,OK,Y
TR228,C1227,A2227,22201.43,INACTIVE,CURRENT,2020-09-26,B10,OK,Y
TR229,C1228,A2228,23012.28,PENDING,SAVINGS,2024-02-11,B4,OK,Y
TR230,C1229,A2229,37348.9,INACTIVE,LOAN,2021-08-20,B17,OK,Y
TR231,C1230,A2230,2856.47,ACTIVE,LOAN,2025-05-27,B17,OK,N
TR232,C1231,A2231,36623.2,PENDING,CURRENT,2023-02-18,B15,OK,N
TR233,C1232,A2232,32340.21,PENDING,SAVINGS,2023-03-03,B11,OK,Y
TR234,C1233,A2233,43600.64,ACTIVE,SAVINGS,2021-05-01,B4,OK,Y
TR235,C1234,A2234,49248.23,PENDING,CURRENT,2024-03-22,B13,OK,Y
TR236,C1235,A2235,41337.22,ACTIVE,LOAN,2023-08-08,B7,OK,N
TR237,C1236,A2236,43746.6,PENDING,LOAN,2020-11-10,B4,OK,N
TR238,C1237,A2237,22252.03,PENDING,SAVINGS,2025-05-13,B20,OK,N
TR239,C1238,A2238,31877.84,ACTIVE,SAVINGS,2023-06-03,B10,OK,Y
TR240,C1239,A2239,25330.8,INACTIVE,SAVINGS,2024-03-14,B11,OK,Y
TR241,C1240,A2240,,INACTIVE,LOAN,2024-07-21,B17,OK,N
TR242,C1241,A2241,42436.63,ACTIVE,LOAN,2025-03-24,B2,OK,N
TR243,C1242,A2242,3969.12,PENDING,LOAN,2020-09-23,B6,OK,Y
TR244,C1243,A2243,30806.7,ACTIVE,SAVINGS,2020-05-21,B18,OK,N
TR245,C1244,A2244,46076.05,ACTIVE,LOAN,2024-11-08,B17,OK,Y
TR246,C1245,A2245,22985.53,PENDING,LOAN,2020-02-06,B9,OK,N
TR247,C1246,A2246,22436.99,INACTIVE,SAVINGS,2020-12-24,B6,OK,Y
TR248,C1247,A2247,28856.12,ACTIVE,LOAN,2023-10-03,B8,OK,Y
TR249,C1248,A2248,24332.31,INACTIVE,LOAN,2024-10-22,B16,OK,Y
TR250,C1249,A2249,35987.34,PENDING,LOAN,2023-10-24,B6,OK,N
TR251,C1250,A2250,4874.44,INACTIVE,SAVINGS,2025-01-18,B20,,Y
TR252,C1251,A2251,28576.62,PENDING,CURRENT,2023-03-25,B19,OK,N
TR253,C1252,A2252,21993.42,PENDING,CURRENT,2024-05-28,B18,OK,N
TR254,C1253,A2253,29475.36,INACTIVE,LOAN,2021-07-06,B3,OK,N
TR255,C1254,A2254,1704.8,INACTIVE,LOAN,2020-09-23,B16,OK,N
TR256,C1255,A2255,33324.92,ACTIVE,LOAN,2021-08-15,B14,OK,Y
TR257,C1256,A2256,12206.1,PENDING,LOAN,2020-05-29,B13,OK,Y
TR258,C1257,A2257,12697.07,PENDING,CURRENT,2024-04-21,B8,OK,N
TR259,C1258,A2258,4038.85,INACTIVE,CURRENT,2020-08-01,B5,OK,Y
TR260,C1259,A2259,48573.22,INACTIVE,CURRENT,2022-04-13,B3,OK,N
TR261,C1260,A2260,48757.81,INACTIVE,SAVINGS,2022-03-18,B19,OK,N
TR262,C1261,A2261,30836.95,ACTIVE,SAVINGS,2024-10-22,B13,OK,Y
TR263,C1262,A2262,905.35,PENDING,SAVINGS,2022-06-21,B1,OK,N
TR264,C1263,A2263,25754.63,INACTIVE,CURRENT,2025-06-16,B6,OK,Y
TR265,C1264,A2264,36290.63,PENDING,SAVINGS,2023-09-16,B7,OK,N
TR266,C1265,A2265,16605.39,PENDING,CURRENT,2021-07-25,B9,OK,Y
TR267,C1266,A2266,15018.06,ACTIVE,LOAN,2023-05-29,B18,OK,Y
TR268,C1267,A2267,26460.26,INACTIVE,LOAN,2023-04-30,B18,OK,Y
TR269,C1268,A2268,4789.32,ACTIVE,CURRENT,2022-11-01,B18,OK,Y
TR270,C1269,A2269,5649.45,PENDING,CURRENT,2022-12-04,B13,OK,Y
TR271,C1270,A2270,26050.61,INACTIVE,SAVINGS,2020-08-17,B3,OK,N
TR272,C1271,A2271,12596.12,PENDING,CURRENT,2024-08-07,B1,OK,N
TR273,C1272,A2272,30227.01,PENDING,CURRENT,2021-05-14,B14,OK,Y
TR274,C1273,A2273,25083.89,INACTIVE,SAVINGS,2022-09-01,B9,OK,N
TR275,C1274,A2274,36919.08,PENDING,LOAN,2023-02-12,B3,OK,Y
TR276,C1275,A2275,45383.96,ACTIVE,CURRENT,2022-02-13,B2,,Y
TR277,C1276,A2276,27218.68,ACTIVE,CURRENT,2025-06-22,B16,OK,N
TR278,C1277,A2277,37320.57,PENDING,LOAN,2020-11-17,B13,OK,Y
TR279,C1278,A2278,13078.79,PENDING,CURRENT,2022-02-28,B15,OK,Y
TR280,C1279,A2279,35679.89,ACTIVE,LOAN,2020-09-24,B3,OK,N
TR281,C1280,A2280,,INACTIVE,SAVINGS,2020-08-07,B15,OK,Y
TR282,C1281,A2281,20218.31,INACTIVE,CURRENT,2020-02-22,B9,OK,Y
TR283,C1282,A2282,38813.85,INACTIVE,LOAN,2022-05-06,B5,OK,Y
TR284,C1283,A2283,37187.42,PENDING,CURRENT,2024-08-18,B10,OK,Y
TR285,C1284,A2284,27394.04,INACTIVE,LOAN,2020-10-26,B15,OK,Y
TR286,C1285,A2285,14861.74,PENDING,CURRENT,2023-04-13,B10,OK,Y
TR287,C1286,A2286,30731.15,INACTIVE,CURRENT,2020-03-06,B16,OK,Y
TR288,C1287,A2287,46859.41,PENDING,LOAN,2024-05-13,B20,OK,N
TR289,C1288,A2288,46572.22,PENDING,CURRENT,2021-06-24,B15,OK,Y
TR290,C1289,A2289,21004.12,INACTIVE,SAVINGS,2021-12-11,B7,OK,N
TR291,C1290,A2290,9052.64,ACTIVE,SAVINGS,2024-09-09,B2,OK,Y
TR292,C1291,A2291,41852.33,INACTIVE,CURRENT,2022-10-06,B19,OK,N
TR293,C1292,A2292,1082.54,PENDING,LOAN,2022-02-15,B8,OK,Y
TR294,C1293,A2293,27508.46,ACTIVE,CURRENT,2023-02-06,B13,OK,Y
TR295,C1294,A2294,47972.46,ACTIVE,LOAN,2024-10-16,B19,OK,N
TR296,C1295,A2295,20509.83,INACTIVE,LOAN,2024-11-20,B7,OK,Y
TR297,C1296,A2296,21861.95,ACTIVE,SAVINGS,2023-03-08,B4,OK,N
TR298,C1297,A2297,8787.2,INACTIVE,CURRENT,2022-10-16,B17,OK,Y
TR299,C1298,A2298,44151.76,INACTIVE,LOAN,2023-12-05,B8,OK,N
TR300,C1299,A2299,3534.92,PENDING,CURRENT,2021-05-16,B20,OK,Y
TR301,C1300,A2300,13144.6,ACTIVE,LOAN,2024-08-11,B5,,Y
TR302,C1301,A2301,23145.57,ACTIVE,LOAN,2021-05-23,B10,OK,Y
TR303,C1302,A2302,21223.74,INACTIVE,LOAN,2020-04-18,B6,OK,N
TR304,C1303,A2303,40449.76,PENDING,CURRENT,2023-09-01,B11,OK,N
TR305,C1304,A2304,13917.66,INACTIVE,LOAN,2024-09-29,B17,OK,N
TR306,C1305,A2305,41048.0,INACTIVE,SAVINGS,2025-05-05,B12,OK,Y
TR307,C1306,A2306,46833.29,INACTIVE,SAVINGS,2023-12-31,B3,OK,N
TR308,C1307,A2307,47487.09,PENDING,LOAN,2023-09-09,B10,OK,Y
TR309,C1308,A2308,44985.63,INACTIVE,LOAN,2020-01-26,B13,OK,Y
TR310,C1309,A2309,47484.6,ACTIVE,LOAN,2021-01-01,B15,OK,Y
TR311,C1310,A2310,10834.51,ACTIVE,LOAN,2020-10-09,B13,OK,Y
